timestamp,symbol,side,regime,ev,realized_rr,p_bull,p_bear,rr_ratio,pnl,bars_held,session_hour,regime_duration,session_weight,regime_weight,age_weight,expected_variance,exit_reason
2023-03-20T12:15:00+00:00,GBPUSD,buy,BIAS_UP,0.0,-1.0009999999899901,0.8125,0.1875,2.5,-100.1,32,12,,1.0,1.0,1.0,0.6474295854568481,sl_full
2023-05-17T09:00:00+00:00,EURUSD,sell,BIAS_DOWN,0.0,-1.00099999998999,0.1044921875,0.8955078125,3.96,-100.1,10,9,,1.0,1.0,1.0,0.6150943636894226,sl_full
2023-05-17T09:45:00+00:00,EURUSD,sell,BIAS_DOWN,0.0,-1.00099999998999,0.185791015625,0.814208984375,2.51,-100.1,2,9,,1.0,1.0,1.0,0.6498181223869324,sl_full
2023-05-17T11:30:00+00:00,EURUSD,sell,BIAS_DOWN,0.0,-1.00099999998999,0.14990234375,0.85009765625,2.32,-100.1,2,11,,1.0,1.0,1.0,0.64033043384552,sl_full
2023-05-17T15:00:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.83837890625,0.16162109375,3.38,-100.1,16,15,,1.0,1.0,1.0,0.6279200315475464,sl_full
2023-05-18T14:15:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.873046875,0.126953125,2.84,-100.1005,11,14,,1.0,1.0,1.0,0.6286033391952515,sl_full
2023-05-18T16:15:00+00:00,XAUUSD,sell,BIAS_DOWN,0.0,-1.0009999999899921,0.09967041015625,0.90032958984375,4.0,-100.1204,18,16,,1.0,1.0,1.0,0.6316277384757996,sl_full
2023-05-18T16:30:00+00:00,XAUUSD,sell,BIAS_DOWN,0.0,-1.0009999999899901,0.1041259765625,0.8958740234375,2.97,-100.1012,17,16,,1.0,1.0,1.0,0.6326572895050049,sl_full
2023-05-18T16:45:00+00:00,XAUUSD,sell,BIAS_DOWN,0.0,-1.0009999999899901,0.10992431640625,0.89007568359375,2.43,-100.1005,16,16,,1.0,1.0,1.0,0.6344618201255798,sl_full
2023-05-26T15:30:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.83642578125,0.16357421875,3.36,-100.1003,3,15,,1.0,1.0,1.0,0.6270666718482971,sl_full
2023-05-26T15:45:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.8134765625,0.1865234375,2.51,-100.1002,3,15,,1.0,1.0,1.0,0.6325428485870361,sl_full
2023-06-15T07:30:00+00:00,EURJPY,buy,BIAS_UP,0.0,4.485486678924131,0.8486328125,0.1513671875,3.49,448.5477,52,7,,1.0,1.0,1.0,0.6305423378944397,tp2
2023-06-15T07:45:00+00:00,EURJPY,buy,BIAS_UP,0.0,2.731245298915872,0.87255859375,0.12744140625,2.84,273.1262,21,7,,1.0,1.0,1.0,0.6246815323829651,be_or_trail
2023-06-15T07:45:00+00:00,GBPJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.90185546875,0.09814453125,4.0,-100.0996,1,7,,1.0,1.0,1.0,0.613357663154602,sl_full
2023-06-15T09:00:00+00:00,GBPJPY,buy,BIAS_UP,0.0,2.8345371919075775,0.89306640625,0.10693359375,2.95,283.4507,35,9,,1.0,1.0,1.0,0.6170032620429993,be_or_trail
2023-06-15T09:15:00+00:00,GBPJPY,buy,BIAS_UP,0.0,2.1140389389296503,0.8662109375,0.1337890625,2.36,211.4062,27,9,,1.0,1.0,1.0,0.6272372603416443,be_or_trail
2023-06-15T16:30:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.80419921875,0.19580078125,2.22,-100.1002,2,16,,1.0,1.0,1.0,0.6486230492591858,sl_full
2023-06-16T09:30:00+00:00,EURUSD,buy,BIAS_UP,0.0,-1.00099999998999,0.76708984375,0.23291015625,2.79,-100.1,2,9,,1.0,1.0,1.0,0.6425555944442749,sl_full
2023-06-19T10:45:00+00:00,GBPJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.763671875,0.236328125,2.77,-100.099,26,10,,1.0,1.0,1.0,0.6458310484886169,sl_full
2023-06-22T10:00:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.70654296875,0.29345703125,2.45,-100.1001,49,10,,1.0,1.0,1.0,0.6566684246063232,sl_full
2023-06-22T10:15:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.7255859375,0.2744140625,2.24,-100.0993,48,10,,1.0,1.0,1.0,0.6548484563827515,sl_full
2023-06-22T16:00:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.82568359375,0.17431640625,2.25,-100.1004,4,16,,1.0,1.0,1.0,0.6254758238792419,sl_full
2023-06-23T11:00:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.6796875,0.3203125,2.36,-100.1021,19,11,,1.0,1.0,1.0,0.6722978353500366,sl_full
2023-06-27T08:45:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.72607421875,0.27392578125,2.54,-100.101,182,8,,1.0,1.0,1.0,0.6467607617378235,sl_full
2023-06-27T10:15:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.751953125,0.248046875,2.31,-100.099,69,10,,1.0,1.0,1.0,0.6451054215431213,sl_full
2023-06-27T16:00:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.85302734375,0.14697265625,2.33,-100.1004,7,16,,1.0,1.0,1.0,0.6154309511184692,sl_full
2023-07-12T08:00:00+00:00,USDJPY,sell,BIAS_DOWN,0.0,4.9051084945034615,0.10931396484375,0.89068603515625,3.91,490.507,4,8,,1.0,1.0,1.0,0.6224161386489868,tp2
2023-07-13T09:15:00+00:00,EURUSD,buy,BIAS_UP,0.0,2.4797789955923735,0.72607421875,0.27392578125,2.54,247.9779,24,9,,1.0,1.0,1.0,0.6508103013038635,be_or_trail
2023-07-13T13:00:00+00:00,EURUSD,buy,BIAS_UP,0.0,1.1990472833133987,0.76220703125,0.23779296875,2.34,119.9047,106,13,,1.0,1.0,1.0,0.6451924443244934,be_or_trail
2023-07-13T14:45:00+00:00,EURUSD,buy,BIAS_UP,0.0,-1.00099999998999,0.79150390625,0.20849609375,2.21,-100.1,36,14,,1.0,1.0,1.0,0.633831262588501,sl_full
2023-08-14T14:00:00+00:00,USDJPY,buy,BIAS_UP,0.0,2.3544589261213646,0.7294921875,0.2705078125,2.56,235.4456,55,14,,1.0,1.0,1.0,0.659876823425293,be_or_trail
